Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
340,Longwood,-20.41,89.6,110.0,69.1,-0.039,-3.96,102.8,106.7,-0.88,2018
341,Florida A&M,-21.21,95.6,116.8,67.1,0.04,-7.55,101.0,108.6,6.38,2018
342,Incarnate Word,-21.6,93.5,115.1,69.7,-0.006,-5.52,101.2,106.7,8.16,2018
343,South Carolina St.,-21.86,96.9,118.7,70.5,0.03,-8.97,100.1,109.1,4.47,2018
344,Bryant,-22.06,98.7,120.7,70.1,-0.013000000000000001,-5.3,101.9,107.2,1.28,2018
345,Northwestern St.,-22.41,88.3,110.7,68.9,-0.08,-3.59,102.6,106.2,7.92,2018
346,Chicago St.,-22.59,96.5,119.1,72.1,-0.063,2.85,106.1,103.3,6.32,2018
347,Coppin St.,-23.97,86.5,110.5,67.1,-0.026000000000000002,-7.19,100.8,108.0,5.62,2018
348,Mississippi Valley St.,-24.21,90.3,114.5,69.4,-0.032,-7.46,100.3,107.8,7.23,2018
349,Maryland Eastern Shore,-27.06,90.8,117.8,65.9,-0.018000000000000002,-7.58,101.0,108.5,7.48,2018
350,Delaware St.,-27.94,90.3,118.3,64.9,-0.094,-9.2,99.6,108.8,1.72,2018
351,Alabama A&M,-28.31,86.6,114.9,65.8,-0.04,-8.1,100.2,108.3,4.85,2018
