Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM
182,Sam Houston St.,-1.07,101.0,102.1,71.1,0.092,-2.93,100.3,103.3,15.24
183,Iona ,-1.17,100.3,101.5,68.2,0.038,-7.02,97.5,104.5,-0.36
184,Texas St.,-1.22,99.5,100.7,62.7,0.07200000000000001,-6.2,98.4,104.6,-8.55
185,Bellarmine,-1.27,107.4,108.7,64.6,-0.013999999999999999,-5.54,99.4,104.9,7.24
186,Rice,-1.67,104.2,105.8,69.5,0.039,2.73,102.1,99.4,-12.13
187,Siena,-1.93,99.7,101.6,66.4,-0.057,-7.45,96.5,104.0,-99.0
188,Hofstra,-2.14,105.9,108.1,68.3,0.052000000000000005,-1.22,101.6,102.8,5.25
189,Valparaiso,-2.52,96.7,99.2,67.2,-0.027999999999999997,6.47,105.7,99.2,5.26
190,Southern Illinois,-2.55,100.0,102.5,66.4,0.075,4.84,104.4,99.5,-4.55
191,Army,-2.56,98.6,101.2,68.4,0.048,-1.05,103.0,104.1,3.13
192,Fresno St.,-2.69,99.5,102.2,66.0,0.065,4.33,104.3,99.9,-99.0
193,Hartford ,-2.8,96.9,99.7,67.1,0.081,-5.1,99.1,104.2,-0.15
194,La Salle,-3.13,102.0,105.2,68.8,-0.012,7.49,104.8,97.3,6.24
195,Illinois St.,-3.21,98.8,102.0,69.2,-0.11199999999999999,5.48,105.4,99.9,2.1
196,Hawaii,-3.27,101.0,104.3,67.1,-0.02,-0.78,101.0,101.7,-99.0
197,Saint Joseph's,-3.38,101.4,104.8,72.3,0.027000000000000003,10.95,107.8,96.8,15.44
198,Nicholls St.,-3.64,100.1,103.7,71.8,0.121,-7.49,98.3,105.8,6.94
199,Northern Kentucky,-3.67,104.0,107.6,64.9,0.055999999999999994,-2.59,102.1,104.7,4.15
200,Montana,-3.69,98.1,101.8,66.0,0.009000000000000001,1.0,103.7,102.7,16.83
201,Evansville,-3.75,105.9,109.6,62.2,0.011000000000000001,4.09,103.4,99.3,-4.53
202,Elon,-3.76,96.8,100.5,66.7,0.013999999999999999,-1.48,102.1,103.6,-4.22
203,Norfolk St. ,-3.79,99.4,103.2,67.7,0.048,-7.97,97.3,105.2,-0.57
204,Louisiana,-3.8,100.3,104.1,71.2,0.096,-3.88,100.2,104.1,-1.73
205,San Diego,-4.06,96.9,101.0,70.4,-0.025,9.24,107.2,98.0,7.55
206,Campbell,-4.29,103.0,107.3,64.2,0.064,-5.17,99.0,104.1,-1.91
207,UMKC,-4.36,95.9,100.2,62.8,-0.07400000000000001,0.67,104.1,103.5,11.53
208,Appalachian St. ,-4.39,98.4,102.8,65.7,0.039,-2.76,100.4,103.1,5.61
209,Utah Valley,-4.5,100.1,104.6,70.5,0.006999999999999999,-0.45,102.5,103.0,11.27
210,Loyola MD,-4.57,96.9,101.5,68.6,-0.19,-4.15,101.9,106.1,-99.0
211,Milwaukee,-4.58,102.0,106.5,70.0,-0.01,-1.95,101.9,103.8,0.59
212,Oakland,-4.76,104.0,108.7,69.9,0.046,2.52,105.5,102.9,19.99
213,South Alabama,-4.78,103.2,108.0,66.8,0.043,-3.05,99.2,102.3,-1.15
214,Austin Peay,-4.81,103.9,108.7,67.0,-0.071,-5.37,98.5,103.9,-1.65
215,The Citadel,-4.83,104.0,108.8,74.4,0.064,2.56,104.1,101.6,-10.48
216,Penn,-4.86,100.2,105.1,69.4,0.0,-99.0,0.0,200.0,-99.0
217,Cornell,-4.93,101.4,106.3,67.1,0.0,-99.0,0.0,200.0,-99.0
218,Texas Southern ,-5.07,99.3,104.4,71.6,0.06,-9.43,94.4,103.8,13.61
219,Saint Peter's,-5.17,90.5,95.6,66.9,-0.006,-6.45,98.0,104.5,4.23
220,Wagner,-5.19,101.0,106.2,65.8,0.068,-8.31,97.8,106.1,19.98
221,Morgan St.,-5.27,100.1,105.3,72.1,-0.037000000000000005,-8.25,95.9,104.1,0.02
222,UC Davis,-5.28,97.4,102.6,69.4,0.087,-2.33,101.0,103.3,-1.73
223,Montana St.,-5.35,98.8,104.2,68.5,0.055,-2.52,101.5,104.0,4.18
224,George Washington,-5.57,101.8,107.4,68.1,-0.094,0.97,99.9,99.0,-6.19
225,Delaware,-5.69,97.1,102.8,66.8,-0.069,-3.87,101.8,105.7,-1.9
226,Charleston,-5.97,102.3,108.3,63.8,-0.03,-1.93,101.4,103.4,2.63
227,Charlotte,-5.98,97.4,103.4,62.9,-0.032,1.23,102.5,101.3,-4.59
228,Monmouth,-6.0,98.9,104.9,74.4,0.05,-6.32,96.8,103.1,-3.58
229,UMass Lowell,-6.02,99.8,105.8,69.2,0.055,-1.83,100.2,102.0,12.62
230,Mount St. Mary's ,-6.14,94.7,100.8,61.8,-0.004,-6.25,99.4,105.6,11.49
